node_id,node_type,country,sector,commodity,total_import_usd,import_share_pct,vulnerability_score,hhi,top_source_country,top_source_share_pct,country_risk_fsi,country_risk_source,commodity_importance,commodity_imp_source,chokepoint_weight,chokepoint_source,lat,lon,global_trade_share_pct,representative_companies,n_companies,static_risk_score,score_methodology,risk_tier
TN_AGR_GEO,trade,Georgia,Agri,Agri,1.04,0.0,0.0,0.2076,Indonesia,36.64,0.5992,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3447,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_GIB,trade,Gibraltar,Agri,Agri,0.03,0.0,0.0,0.2076,Indonesia,36.64,0.6175,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3502,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_GRE,trade,Greece,Agri,Agri,26.82,0.02,0.0,0.2076,Indonesia,36.64,0.4592,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3027,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_HON,trade,Hong Kong,Agri,Agri,2.63,0.0,0.0,0.2076,Indonesia,36.64,0.5,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3149,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_HUN,trade,Hungary,Agri,Agri,1.26,0.0,0.0,0.2076,Indonesia,36.64,0.4067,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.287,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Low
TN_AGR_ICE,trade,Iceland,Agri,Agri,9.91,0.01,0.0,0.2076,Indonesia,36.64,0.1308,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.2042,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Low
TN_AGR_IRE,trade,Ireland,Agri,Agri,2.27,0.0,0.0,0.2076,Indonesia,36.64,0.1625,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.2137,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Low
TN_AGR_ISL,trade,Islamic Republic of Iran,Agri,Agri,11.55,0.01,0.0,0.2076,Indonesia,36.64,0.6175,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3502,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_JOR,trade,Jordan,Agri,Agri,1.24,0.0,0.0,0.2076,Indonesia,36.64,0.6308,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3542,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_KAZ,trade,Kazakhstan,Agri,Agri,1.07,0.0,0.0,0.2076,Indonesia,36.64,0.505,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3164,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_KUW,trade,Kuwait,Agri,Agri,0.36,0.0,0.0,0.2076,Indonesia,36.64,0.4267,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.293,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Low
TN_AGR_KYR,trade,Kyrgyzstan,Agri,Agri,0.02,0.0,0.0,0.2076,Indonesia,36.64,0.6175,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3502,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_LAO,trade,Lao People's Democratic Republic,Agri,Agri,0.35,0.0,0.0,0.2076,Indonesia,36.64,0.6175,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3502,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_LEB,trade,Lebanon,Agri,Agri,1.2500000000000002,0.0,0.0,0.2076,Indonesia,36.64,0.765,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3944,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_LUX,trade,Luxembourg,Agri,Agri,0.08,0.0,0.0,0.2076,Indonesia,36.64,0.1625,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.2137,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Low
