node_id,snapshot_date,disruption_prob,severity_pred,risk_tier,country,sector,commodity,static_risk_score,lat,lon,insight_text
TN_CHE_FAR,2026-06-08,0.3007,4.0,Medium,Faroe Islands,Chemicals,Chemicals,0.3354,,,
TN_CHE_FIJ,2026-06-08,0.3007,4.0,Medium,Fiji,Chemicals,Chemicals,0.3256,,,
TN_CHE_FRE,2026-06-08,0.3007,4.0,Medium,French Polynesia,Chemicals,Chemicals,0.3354,,,
TN_CHE_GEO,2026-06-08,0.3007,4.0,Medium,Georgia,Chemicals,Chemicals,0.3299,,,
TN_CHE_GIB,2026-06-08,0.3007,4.0,Medium,Gibraltar,Chemicals,Chemicals,0.3354,,,
TN_CHE_GRE,2026-06-08,0.3007,4.0,Medium,Greece,Chemicals,Chemicals,0.2879,,,
TN_CHE_GUA,2026-06-08,0.3007,4.0,Medium,Guam,Chemicals,Chemicals,0.3354,,,
TN_CHE_GUE,2026-06-08,0.3007,4.0,Medium,Guernsey,Chemicals,Chemicals,0.3354,,,
TN_CHE_HOL,2026-06-08,0.3007,4.0,Medium,Holy See(Vatican City),Chemicals,Chemicals,0.3354,,,
TN_CHE_ICE,2026-06-08,0.3007,4.0,Medium,Iceland,Chemicals,Chemicals,0.1894,,,
TN_CHE_IRA,2026-06-08,0.3007,4.0,Medium,Iraq,Chemicals,Chemicals,0.3787,,,
TN_CHE_JER,2026-06-08,0.3007,4.0,Medium,Jersey,Chemicals,Chemicals,0.3354,,,
TN_CHE_KAZ,2026-06-08,0.3007,4.0,Medium,Kazakhstan,Chemicals,Chemicals,0.3016,,,
TN_CHE_KIR,2026-06-08,0.3007,4.0,Medium,Kiribati,Chemicals,Chemicals,0.3354,,,
TN_CHE_KYR,2026-06-08,0.3007,4.0,Medium,Kyrgyzstan,Chemicals,Chemicals,0.3354,,,
TN_CHE_LAO,2026-06-08,0.3007,4.0,Medium,Lao People's Democratic Republic,Chemicals,Chemicals,0.3354,,,
TN_CHE_LEB,2026-06-08,0.3007,4.0,Medium,Lebanon,Chemicals,Chemicals,0.3796,,,
